"Laikotarpis","Rodiklis","Amžius (tikslinės amžiaus grupės)","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"1998","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","6.5"
"1999","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","5.8"
"2000","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","11.0"
"2001","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","13.2"
"2002","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","11.4"
"2003","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","11.5"
"2004","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","9.8"
"2005","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","6.9"
"2006","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","6.1"
"2007","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","3.7"
"2008","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","4.4"
"2009","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","10.5"
"2010","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","14.4"
"2011","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","13.4"
"2012","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","11.9"
"2013","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","11.2"
"2014","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","10.7"
"2015","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","8.7"
"2016","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","7.7"
"2017","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","7.3"
"2018","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai ir moterys","proc.","7.2"
"1998","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"1999","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2000","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.","2.5"
"2001","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2002","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2003","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.","5.4"
"2004","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.","4.3"
"2005","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2006","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2007","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2008","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.","2.8"
"2009","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2010","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2011","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2012","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2013","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2014","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2015","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2016","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2017","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"2018","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai ir moterys","proc.",
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","14.7"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","16.2"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","18.8"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","19.9"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","14.6"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","12.7"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","10.5"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","8.1"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","5.9"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","4.2"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","6.0"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","17.1"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","21.2"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","17.9"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","15.2"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","13.1"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","12.2"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","10.1"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","9.1"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","8.5"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai","proc.","6.9"
"1998","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","25.5"
"1999","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","29.5"
"2000","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","31.9"
"2001","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","36.1"
"2002","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","23.1"
"2003","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","22.5"
"2004","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","21.5"
"2005","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","16.0"
"2006","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","10.0"
"2007","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","7.0"
"2008","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","13.0"
"2009","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","35.1"
"2010","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","39.0"
"2011","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","34.9"
"2012","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","29.7"
"2013","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","23.0"
"2014","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","19.6"
"2015","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","16.0"
"2016","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","15.9"
"2017","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","14.6"
"2018","Nedarbo lygis","15–24","Miestas ir kaimas","Vyrai","proc.","12.0"
"1998","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","20.8"
"1999","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","22.2"
"2000","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","24.8"
"2001","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","27.0"
"2002","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","18.6"
"2003","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","18.6"
"2004","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","14.9"
"2005","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","10.7"
"2006","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","7.4"
"2007","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","5.7"
"2008","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","10.0"
"2009","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","26.3"
"2010","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","31.7"
"2011","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","26.2"
"2012","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","21.9"
"2013","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","17.8"
"2014","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","15.6"
"2015","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","12.3"
"2016","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","11.5"
"2017","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","9.7"
"2018","Nedarbo lygis","15–29","Miestas ir kaimas","Vyrai","proc.","8.6"
"1998","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","14.9"
"1999","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","16.4"
"2000","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","19.0"
"2001","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","20.3"
"2002","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","14.8"
"2003","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","12.9"
"2004","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","10.6"
"2005","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","8.2"
"2006","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","6.0"
"2007","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","4.3"
"2008","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","6.1"
"2009","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","17.4"
"2010","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","21.5"
"2011","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","18.2"
"2012","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","15.5"
"2013","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","13.4"
"2014","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","12.4"
"2015","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","10.3"
"2016","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","9.3"
"2017","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","8.8"
"2018","Nedarbo lygis","15–64","Miestas ir kaimas","Vyrai","proc.","7.1"
"1998","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","14.7"
"1999","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","16.2"
"2000","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","18.8"
"2001","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","20.0"
"2002","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","14.6"
"2003","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","12.7"
"2004","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","10.5"
"2005","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","8.1"
"2006","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","6.0"
"2007","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","4.2"
